epoch,recorded_at_utc,edge_loss,det_loss,validation_loss,validation_acc,validation_recall,validation_score,best_score,is_best,train_seconds,validation_seconds,base_seed,effective_seed,fold
188,2026-07-13T17:03:51Z,0.00018217772634286368,0.003347503010456592,0.0001328147406671694,0.9998687116158641,0.9631476262735746,0.9630211761780368,0.9719878802870034,0,1222.6820330712944,21.551977029070258,314159,314159,0
189,2026-07-13T17:24:37Z,0.00018825510352765674,0.003054913590107729,0.00016499599744142446,0.9998389371952449,0.9681335356600911,0.9679776053574601,0.9719878802870034,0,1221.2259432896972,24.148190182633698,314159,314159,0
190,2026-07-13T17:46:02Z,0.00018696544713583631,0.0033020035122477065,0.00013300087929807343,0.9998525273692226,0.9630392369390852,0.962897215009272,0.9719878802870034,0,1264.1345012495294,21.535942601040006,314159,314159,0
191,2026-07-13T18:07:01Z,0.00018511280341265493,0.0031787368160822688,0.00014109337605805515,0.9998571340431622,0.9653154129633644,0.9651775022532412,0.9719878802870034,0,1236.8030949318781,21.631119090132415,314159,314159,0
192,2026-07-13T18:27:41Z,0.00019334503774368178,0.0031831938568380193,0.00015216383460614326,0.9998342817535938,0.968567092998049,0.9684065837578706,0.9719878802870034,0,1217.9309781640768,21.494847912341356,314159,314159,0
193,2026-07-13T18:48:13Z,0.00018862103634087533,0.0031218050010814987,0.0001518968281846275,0.9998503909520647,0.9656405809668329,0.9654961123988668,0.9719878802870034,0,1210.7891234233975,21.325481325387955,314159,314159,0
194,2026-07-13T19:08:52Z,0.00018641041476272303,0.003202294871596784,0.00013769699901627005,0.9998562319338328,0.9734446130500759,0.9733046628005367,0.9733046628005367,1,1217.0278854807839,21.40130125451833,314159,314159,0
195,2026-07-13T19:29:34Z,0.0001870782805601654,0.0031269694040096056,0.00012245383341933258,0.9998520162056955,0.9698677650119228,0.9697242403000828,0.9733046628005367,0,1220.177542384714,21.7965477257967,314159,314159,0
196,2026-07-13T19:50:13Z,0.00018260661639649486,0.003316376309058459,0.0001350195761601279,0.9998538327459624,0.9681335356600911,0.967992026239642,0.9733046628005367,0,1217.2981757679954,21.3691337518394,314159,314159,0
197,2026-07-13T20:10:48Z,0.000184826237986987,0.003119878338445453,0.00013916987306892794,0.9998508009414435,0.9668328636462172,0.9666886130931798,0.9733046628005367,0,1212.3086064876989,21.899557411670685,314159,314159,0
198,2026-07-13T20:31:18Z,0.00018898499839288963,0.00317691943439504,0.00014977315919824098,0.9998566293456006,0.9633644049425536,0.9632262867573919,0.9733046628005367,0,1209.051989287138,21.184310806915164,314159,314159,0
199,2026-07-13T20:51:52Z,0.00018059145732500726,0.0031274788690214264,0.00013130270847726332,0.9998582844071138,0.964773466290917,0.9646367428471406,0.9733046628005367,0,1212.336194829084,21.547396308742464,314159,314159,0
200,2026-07-13T21:12:27Z,0.00018777467006219926,0.0031239073958849598,0.00013960710216788684,0.9998684455663042,0.9635811836115327,0.9634544202346027,0.9733046628005367,0,1213.5202851770446,21.34679708443582,314159,314159,0
201,2026-07-13T21:33:06Z,0.00018100994346255644,0.003054727365619713,0.00015388947967535149,0.9998467444733187,0.9649902449598959,0.9648423548716623,0.9733046628005367,0,1216.8796844659373,21.882325334474444,314159,314159,0
202,2026-07-13T21:53:34Z,0.00018189455186038117,0.0030299506672477458,0.00013123409806868914,0.9998678294970127,0.9675915889876436,0.9674637019206409,0.9733046628005367,0,1206.4883009623736,21.241573323495686,314159,314159,0
203,2026-07-13T22:14:17Z,0.00018218697390413278,0.003112773860009127,0.00014729504623409468,0.9998473963469033,0.952959028831563,0.9528136038025119,0.9733046628005367,0,1221.0965228788555,21.15401916950941,314159,314159,0
204,2026-07-13T22:35:04Z,0.0001844974418063125,0.003112161272155777,0.0001371464264868649,0.9998578318809244,0.9690006503360069,0.9688628893361656,0.9733046628005367,0,1218.1799577772617,28.895184062421322,314159,314159,0
205,2026-07-13T22:55:41Z,0.00018645902955522818,0.003265947356107986,0.00017667563198542214,0.9998357956834191,0.9684587036635595,0.9682996785639876,0.9733046628005367,0,1215.115840304643,21.42397124413401,314159,314159,0
206,2026-07-13T23:16:13Z,0.00018276361269252864,0.0030634122054175377,0.00012053629160307861,0.9998617136604697,0.9662909169737698,0.9661572921399402,0.9733046628005367,0,1209.5074876351282,22.9191563045606,314159,314159,0
207,2026-07-13T23:36:46Z,0.00017565999411272868,0.0030827692525547744,0.00014577639190918007,0.9998396698080597,0.9717103836982441,0.9715545891859154,0.9733046628005367,0,1210.8471323717386,21.50803998671472,314159,314159,0
208,2026-07-13T23:57:35Z,0.000167162652197211,0.00303119657221253,0.00014951875564319622,0.999851660722219,0.9672664209841751,0.9671229373818645,0.9733046628005367,0,1227.3124167099595,21.898712978698313,314159,314159,0
209,2026-07-14T00:18:13Z,0.0001751828911008668,0.0030979752061373205,0.00011781638680478767,0.9998702573361553,0.9668328636462172,0.9667074241749952,0.9733046628005367,0,1215.5071071870625,21.961824176833034,314159,314159,0
210,2026-07-14T00:38:46Z,0.0001747280240808582,0.00313287035041798,0.0001335165266529062,0.999858921884083,0.9622805115976588,0.962144754876099,0.9733046628005367,0,1210.913974840194,21.70259530749172,314159,314159,0
211,2026-07-14T00:59:13Z,0.00017641267502552065,0.003008589067471915,0.00016177275861407796,0.999852026564589,0.9649902449598959,0.9648474520382112,0.9733046628005367,0,1205.1321199629456,21.347970625385642,314159,314159,0
212,2026-07-14T01:19:42Z,0.00017790082348143803,0.003151903619126287,0.00013744973288889185,0.9998680152304286,0.960546282245827,0.9604195047661022,0.9733046628005367,0,1208.268482387066,21.188693155534565,314159,314159,0
213,2026-07-14T01:40:31Z,0.0001783200373351022,0.0030065586196212166,0.00011138150459673063,0.9998793573769613,0.960979839583785,0.9608639044552503,0.9733046628005367,0,1225.569196251221,23.18879850395024,314159,314159,0
214,2026-07-14T02:01:18Z,0.00018311140413488524,0.0029684751941605157,0.00015213921590177926,0.9998668294583195,0.9642315196184695,0.9641031123846966,0.9733046628005367,0,1225.0421818867326,21.498750648461282,314159,314159,0
215,2026-07-14T02:21:49Z,0.00018014310108804916,0.003069412851184503,0.00016668850339349354,0.9998405010058175,0.9695425970084544,0.9693879559394144,0.9733046628005367,0,1209.1303317612037,21.314759170636535,314159,314159,0
216,2026-07-14T02:42:19Z,0.00016868201037867613,0.003102201146261875,0.00014938948862168677,0.9998455814246054,0.9713852156947756,0.9712352157736087,0.9733046628005367,0,1208.2775626443326,21.185832939110696,314159,314159,0
217,2026-07-14T03:02:47Z,0.00018012427961331672,0.002906486509127264,0.0001355091792242466,0.9998521817746101,0.9684587036635595,0.9683155478166205,0.9733046628005367,0,1207.1591416066512,21.337411081418395,314159,314159,0
218,2026-07-14T03:23:32Z,0.00017779341684353344,0.003196216694158945,0.00011704852670042954,0.9998673735475802,0.9688922610015175,0.9687637602581638,0.9733046628005367,0,1222.4773277034983,21.78625848516822,314159,314159,0
219,2026-07-14T03:44:03Z,0.00017243491782393668,0.003051236170919715,0.0001296319887165312,0.9998562007049235,0.9653154129633644,0.9651766012874539,0.9733046628005367,0,1210.0459986953065,21.182487409561872,314159,314159,0
220,2026-07-14T04:04:29Z,0.00017747046765401877,0.0030036240393145437,0.00011970140812945007,0.9998650586907556,0.9628224582701063,0.9626925337470174,0.9733046628005367,0,1203.4823350086808,21.66688713710755,314159,314159,0
221,2026-07-14T04:24:57Z,0.00017557671824143948,0.0029283448295393854,0.0001323301404166919,0.9998569409587074,0.9652070236288749,0.9650689420374257,0.9733046628005367,0,1205.4967822199687,22.782501311041415,314159,314159,0
222,2026-07-14T04:45:39Z,0.00017809114713018863,0.003101748614360155,0.00012574074575183393,0.9998485067876893,0.96835031432907,0.9682036158293102,0.9733046628005367,0,1220.3119954997674,21.414794428274035,314159,314159,0
223,2026-07-14T05:06:10Z,0.00017238052663178207,0.003008201310220221,0.00012638030031197233,0.9998514556194801,0.9692174290049859,0.9690734572024052,0.9733046628005367,0,1209.0004800967872,21.07977718207985,314159,314159,0
224,2026-07-14T05:26:36Z,0.00017509689091883121,0.003038284115371524,0.00015597925988120653,0.9998524812576036,0.9665076956427487,0.9663651176429711,0.9733046628005367,0,1204.826697666198,21.211068007163703,314159,314159,0
225,2026-07-14T05:47:08Z,0.0001739716880418297,0.002926407455548683,0.00015400476890314023,0.9998425747505036,0.9695425970084544,0.969389966523223,0.9733046628005367,0,1210.1202586134896,21.292562442831695,314159,314159,0
226,2026-07-14T06:07:33Z,0.00017380717552376685,0.0030079187799234965,0.00015159032359987327,0.9998422123658678,0.9667244743117277,0.9665719371440683,0.9733046628005367,0,1203.4489193698391,21.25377952121198,314159,314159,0
227,2026-07-14T06:28:01Z,0.00017530795230491576,0.002907089578585854,0.00012419678297718464,0.9998510508705987,0.9705181010188597,0.9703735431926447,0.9733046628005367,0,1206.7462654039264,21.08645268343389,314159,314159,0
228,2026-07-14T06:48:21Z,0.00016800239451123588,0.0029441183242012304,0.00013595081038720604,0.9998500839687858,0.9623889009321482,0.962244623407636,0.9733046628005367,0,1199.219283866696,21.048302092589438,314159,314159,0
229,2026-07-14T07:08:38Z,0.00016958682606037248,0.002886395795723742,0.00013901520614422458,0.9998503704634423,0.9657489703013223,0.9656044657304651,0.9733046628005367,0,1195.395364693366,21.062951589003205,314159,314159,0
230,2026-07-14T07:29:00Z,0.00017777064102386387,0.002982488258889607,0.0001330352051924566,0.9998500157150769,0.9670496423151962,0.9669046000661085,0.9733046628005367,0,1200.1331345867366,21.23540346696973,314159,314159,0
